Source,Target,Type
_hcMethylthiochcdeoxycDcribose_hcphosphate_c,rx_184,Directed
rx_184,_hcMethylthiochcdeoxycDcribulose_hcphosphate_c,Directed
DcLactate_e,rx_185,Directed
Hf_e,rx_185,Directed
rx_185,Hf_c,Directed
rx_185,DcLactate_c,Directed
Formate_c,rx_186,Directed
SncGlycerochcphosphocholine_c,rx_187,Directed
HhO_HhO_c,rx_187,Directed
rx_187,Hf_c,Directed
rx_187,Choline_ChHhhNO_c,Directed
rx_187,Glycerol_hcphosphate_c,Directed
Thiamin_triphosphate_ChhHhhNhOhhPhS_c,rx_188,Directed
HhO_HhO_c,rx_188,Directed
rx_188,Hf_c,Directed
rx_188,Thiamine_diphosphate_c,Directed
rx_188,Phosphate_c,Directed
LcAlanine_e,rx_189,Directed
Adenosine_e,rx_190,Directed
Ethanolamine_e,rx_191,Directed
ATP_ChhHhhNhOhhPh_c,rx_192,Directed
CMP_ChHhhNhOhP_c,rx_192,Directed
rx_192,CDP_ChHhhNhOhhPh_c,Directed
