Source,Target,Type
_h_h_Diamino_h_hydroxy_h__h__phosphoribosylamino__pyrimidine_ChHhhNhOhP_c,rx_87,Directed
rx_87,Ammonium_c,Directed
rx_87,_hcAminochcdhicphosphoribosylaminoeuracil_c,Directed
CMP_ChHhhNhOhP_c,rx_88,Directed
ATP_ChhHhhNhOhhPh_c,rx_88,Directed
rx_88,CDP_ChHhhNhOhhPh_c,Directed
rx_88,ADP_ChhHhhNhOhhPh_c,Directed
Ornithine_c,rx_89,Directed
LcArginine_e,rx_89,Directed
rx_89,Ornithine_e,Directed
rx_89,LcArginine_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_90,Directed
ATP_ChhHhhNhOhhPh_c,rx_90,Directed
rx_90,Hf_c,Directed
rx_90,ADP_ChhHhhNhOhhPh_c,Directed
rx_90,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
_hcPhosphocalphacDcribose_hcdiphosphate_c,rx_91,Directed
Adenine_c,rx_91,Directed
rx_91,Diphosphate_c,Directed
rx_91,AMP_ChhHhhNhOhP_c,Directed
NcAcetylneuraminate_e,rx_92,Directed
AMP_ChhHhhNhOhP_c,rx_93,Directed
ATP_ChhHhhNhOhhPh_c,rx_93,Directed
rx_93,ADP_ChhHhhNhOhhPh_c,Directed
Sodium_e,rx_94,Directed
LcLactate_e,rx_95,Directed
Hf_e,rx_95,Directed
rx_95,Hf_c,Directed
rx_95,LcLactate_c,Directed
Cytosine_e,rx_96,Directed
Hf_e,rx_96,Directed
rx_96,Hf_c,Directed
rx_96,Cytosine_c,Directed
SuccinylcCoA_c,rx_97,Directed
HhO_HhO_c,rx_97,Directed
_hghghghcTetrahydrodipicolinate_c,rx_97,Directed
rx_97,Coenzyme_A_c,Directed
rx_97,NcSuccinylchcLcaminochcoxoheptanedioate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_98,Directed
IDP_ChhHhhNhOhhPh_c,rx_98,Directed
rx_98,ITP_ChhHhhNhOhhPh_c,Directed
rx_98,ADP_ChhHhhNhOhhPh_c,Directed
Nitrite_e,rx_99,Directed
HhO_HhO_c,rx_100,Directed
Oh_Oh_c,rx_100,Directed
_hghcdiketochcmethylthiochcphosphopentane_c,rx_100,Directed
rx_100,Hf_c,Directed
rx_100,Formate_c,Directed
rx_100,_hcketochcmethylthiobutyrate_c,Directed
rx_100,Phosphate_c,Directed
Ethanol_e,rx_101,Directed
_hghcDimethylchcdhcDcribitylelumazine_c,rx_102,Directed
rx_102,Riboflavin_ChhHhhNhOh_c,Directed
rx_102,_hcdhcDcRibitylaminoechcaminouracil_c,Directed
UDPcNcacetylmuramoylcLcalanylcDcglutamate_c,rx_103,Directed
ATP_ChhHhhNhOhhPh_c,rx_103,Directed
MesochghcDiaminoheptanedioate_c,rx_103,Directed
rx_103,Hf_c,Directed
rx_103,UDPcNcacetylmuramoylcLcalanylcDcgammacglutamylcmesochghcdiaminopimelate_c,Directed
rx_103,ADP_ChhHhhNhOhhPh_c,Directed
rx_103,Phosphate_c,Directed
HhO_HhO_c,rx_104,Directed
Spermidine_e,rx_104,Directed
ATP_ChhHhhNhOhhPh_c,rx_104,Directed
rx_104,Hf_c,Directed
rx_104,Spermidine_c,Directed
rx_104,ADP_ChhHhhNhOhhPh_c,Directed
rx_104,Phosphate_c,Directed
Sodium_e,rx_105,Directed
Phosphate_e,rx_105,Directed
rx_105,Sodium_c,Directed
rx_105,Phosphate_c,Directed
HhO_HhO_c,rx_106,Directed
Fumarate_c,rx_106,Directed
rx_106,LcMalate_c,Directed
NhcFormylcNhcdhcphosphocDcribosyleglycinamide_c,rx_107,Directed
HhO_HhO_c,rx_107,Directed
LcGlutamine_c,rx_107,Directed
ATP_ChhHhhNhOhhPh_c,rx_107,Directed
rx_107,Hf_c,Directed
rx_107,ADP_ChhHhhNhOhhPh_c,Directed
rx_107,_hcdFormamidoecNhcdhcphosphocDcribosyleacetamidine_c,Directed
rx_107,LcGlutamate_c,Directed
rx_107,Phosphate_c,Directed
HhO_HhO_c,rx_108,Directed
Octopine_c,rx_108,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_108,Directed
rx_108,Hf_c,Directed
rx_108,LcArginine_c,Directed
rx_108,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_108,Pyruvate_c,Directed
Hf_c,rx_109,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_109,Directed
_hghcDihydrodipicolinate_c,rx_109,Directed
rx_109,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_109,_hghghghcTetrahydrodipicolinate_c,Directed
Guanine_c,rx_110,Directed
_hcPhosphocalphacDcribose_hcdiphosphate_c,rx_110,Directed
rx_110,GMP_ChhHhhNhOhP_c,Directed
rx_110,Diphosphate_c,Directed
HhO_HhO_c,rx_111,Directed
DcNopaline_c,rx_111,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_111,Directed
rx_111,Hf_c,Directed
rx_111,LcArginine_c,Directed
rx_111,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_111,_hcOxoglutarate_c,Directed
Reduced_glutathione_c,rx_112,Directed
Hydrogen_peroxide_c,rx_112,Directed
rx_112,HhO_HhO_c,Directed
rx_112,Oxidized_glutathione_c,Directed
NcAcetylcDcmannosamine_hcphosphate_c,rx_113,Directed
rx_113,NcAcetylcDcglucosamine_hcphosphate_c,Directed
_hghhcMethylenetetrahydrofolate_c,rx_114,Directed
DUMP_ChHhhNhOhP_c,rx_114,Directed
rx_114,_hghcDihydrofolate_c,Directed
rx_114,DTMP_ChhHhhNhOhP_c,Directed
Glycerol_hcphosphate_e,rx_115,Directed
Hexadecanoate_dncChhjhe_e,rx_116,Directed
HhO_HhO_c,rx_117,Directed
SncGlycerochcphosphoethanolamine_c,rx_117,Directed
rx_117,Hf_c,Directed
rx_117,Glycerol_hcphosphate_c,Directed
rx_117,Ethanolamine_c,Directed
Ammonium_e,rx_118,Directed
Cytosine_e,rx_119,Directed
Hydrogen_sulfide_c,rx_120,Directed
OcAcetylcLcserine_c,rx_120,Directed
rx_120,Hf_c,Directed
rx_120,Acetate_c,Directed
rx_120,LcCysteine_c,Directed
Choline_ChHhhNO_c,rx_121,Directed
Nicotinamide_adenine_dinucleotide_c,rx_121,Directed
rx_121,Hf_c,Directed
rx_121,Betaine_aldehyde_c,Directed
rx_121,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
BetacAlanine_c,rx_122,Directed
ATP_ChhHhhNhOhhPh_c,rx_122,Directed
dRecPantoate_c,rx_122,Directed
rx_122,Hf_c,Directed
rx_122,Diphosphate_c,Directed
rx_122,AMP_ChhHhhNhOhP_c,Directed
rx_122,dRecPantothenate_c,Directed
LcHomoserine_c,rx_123,Directed
AcetylcCoA_c,rx_123,Directed
rx_123,Coenzyme_A_c,Directed
rx_123,O_Acetyl_L_homoserine_ChHhhNOh_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_124,Directed
OctanoylcCoA_dncChjhCoAe_c,rx_124,Directed
rx_124,Hf_c,Directed
rx_124,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_124,TranscOctchcenoylcCoA_c,Directed
HhO_HhO_c,rx_125,Directed
Betaine_aldehyde_c,rx_125,Directed
Nicotinamide_adenine_dinucleotide_c,rx_125,Directed
rx_125,Hf_c,Directed
rx_125,Glycine_betaine_c,Directed
rx_125,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
DcRibose_c,rx_126,Directed
ATP_ChhHhhNhOhhPh_c,rx_126,Directed
rx_126,Hf_c,Directed
rx_126,AlphacDcRibose_hcphosphate_c,Directed
rx_126,ADP_ChhHhhNhOhhPh_c,Directed
HhO_HhO_c,rx_127,Directed
Glycerophosphoserine_c,rx_127,Directed
rx_127,Hf_c,Directed
rx_127,Glycerol_hcphosphate_c,Directed
rx_127,LcSerine_c,Directed
HhO_HhO_c,rx_128,Directed
DcGlycerocDcmannocheptose_hghcbisphosphate_c,rx_128,Directed
rx_128,DcGlycerocDcmannocheptose_hcphosphate_c,Directed
rx_128,Phosphate_c,Directed
HhO_HhO_c,rx_129,Directed
Glycolaldehyde_c,rx_129,Directed
Nicotinamide_adenine_dinucleotide_c,rx_129,Directed
rx_129,Hf_c,Directed
rx_129,Glycolate_ChHhOh_c,Directed
rx_129,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
LcSerine_c,rx_130,Directed
CicdhcIndolylecglycerol_hcphosphate_c,rx_130,Directed
rx_130,HhO_HhO_c,Directed
rx_130,Glyceraldehyde_hcphosphate_c,Directed
rx_130,LcTryptophan_c,Directed
DCDP_ChHhhNhOhhPh_c,rx_131,Directed
ATP_ChhHhhNhOhhPh_c,rx_131,Directed
rx_131,ADP_ChhHhhNhOhhPh_c,Directed
rx_131,DCTP_ChHhhNhOhhPh_c,Directed
LcAlanine_c,rx_132,Directed
rx_132,DcAlanine_c,Directed
dRecGlycerate_c,rx_133,Directed
ATP_ChhHhhNhOhhPh_c,rx_133,Directed
rx_133,Hf_c,Directed
rx_133,_hcPhosphocDcglycerate_c,Directed
rx_133,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_134,Directed
Menaquinol_h_c,rx_134,Directed
Nitrate_c,rx_134,Directed
rx_134,Nitrite_c,Directed
rx_134,HhO_HhO_c,Directed
rx_134,Menaquinone_h_c,Directed
