Source,Target,Type
DcFructose_hghcbisphosphate_c,rx_148,Directed
rx_148,Dihydroxyacetone_phosphate_c,Directed
rx_148,Glyceraldehyde_hcphosphate_c,Directed
_hcPyrrolinechccarboxylate_c,rx_149,Directed
Hf_c,rx_149,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_149,Directed
rx_149,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_149,LcProline_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_150,Directed
LcAlanine_c,rx_150,Directed
HhO_HhO_c,rx_150,Directed
rx_150,Pyruvate_c,Directed
rx_150,Hf_c,Directed
rx_150,Ammonium_c,Directed
rx_150,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_151,Directed
Shikimate_c,rx_151,Directed
rx_151,Shikimate_hcphosphate_c,Directed
rx_151,Hf_c,Directed
rx_151,ADP_ChhHhhNhOhhPh_c,Directed
ADPcDcglycerocDcmannocheptose_c,rx_152,Directed
rx_152,ADPcLcglycerocDcmannocheptose_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_153,Directed
IMP_ChhHhhNhOhP_c,rx_153,Directed
HhO_HhO_c,rx_153,Directed
rx_153,Hf_c,Directed
rx_153,Xanthosine_hicphosphate_c,Directed
rx_153,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
_hcAminochcoxopentanoate_c,rx_154,Directed
rx_154,Hf_c,Directed
rx_154,Porphobilinogen_c,Directed
rx_154,HhO_HhO_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_155,Directed
HhO_HhO_c,rx_155,Directed
